Committee ID,Candidate/Committee Name,Office,Party,IE For,IE Against,Total IE,Transaction Count
-260,Carlos for Phoenix,,,3235.95,0.0,3235.95,1
-276,Chris4Arizona,,,0.0,3165.09,3165.09,1
100806,Pierce For AZ,State Representative - District 2,Republican,2633.62,0.0,2633.62,4
-902,Lugo Jr for Arizona,,,2021.2,544.16,2565.36,3
-729,Jones for Arizona,,,2125.0,0.0,2125.0,2
100904,Friends of Natacha Chavez,State Representative - District 22,Democratic,2124.11,0.0,2124.11,3
-386,David W Richardson for AZ,,,2000.0,0.0,2000.0,1
-38,Abraham Hamadeh for Attorney General,Attorney General,Republican,1881.27,0.0,1881.27,1
201800208,Sierra for Arizona,State Representative - District 22,Democratic,1410.1,411.52,1821.62,5
-807,Katie Hobbs,,,0.0,1819.44,1819.44,1
-307,Committee to Elect Kim Owens,,,1500.0,0.0,1500.0,1
-873,Laura Pastor 4 City Council,,,1435.26,0.0,1435.26,2
201800393,Salman for House,State Representative - District 26,Democratic,1395.82,0.0,1395.82,3
-1247,Susan Black for Arizona,,,1381.05,0.0,1381.05,2
-1041,PENA 4 AZ HOUSE,,,1368.86,0.0,1368.86,2
-1191,Samantha Davis for qcusd governing board,,,1255.0,0.0,1255.0,1
-1403,Young for Arizona,,,0.0,1000.0,1000.0,1
202000013,Joseph Chaplik For AZ,State Representative - District 3,Republican,969.98,0.0,969.98,1
100522,Livingston for Treasurer,State Treasurer,Republican,969.53,0.0,969.53,2
-822,Kesha for Phoenix,,,892.0,0.0,892.0,1
-1012,Naketa Ross for State Representative - District 27,State Representative - District No. 27,Democratic,857.09,0.0,857.09,1
201800222,Committee to Elect Leo Biasiucci,State Representative - District 30,Republican,802.29,0.0,802.29,1
-261,Carlos for Phoenix,,,781.25,0.0,781.25,1
101126,Michael Carbone for State Representative - District 25,State Representative - District 25,Republican,768.95,0.0,768.95,1
100556,Committee to Elect David Marshall,State Representative - District 6,Republican,682.75,0.0,682.75,1
-269,Center For Arizona Policy Action,,,0.0,681.6,681.6,4
